date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,label
1/1/19 0:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,17,21,22,21,11,5,84,0,1018,20,10,0
1/1/19 3:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,16,18,18,18,7,5,88,0,1018,17,10,0
1/1/19 6:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,14,17,17,17,4,1,87,0,1018,16,10,0
1/1/19 9:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,15,23,23,23,6,0,65,0,1018,22,10,0
1/1/19 12:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,15,30,30,30,9,5,42,0,1017,29,10,0
1/1/19 15:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,16,31,31,31,17,10,40,0,1016,31,10,0
1/1/19 18:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,18,31,31,29,14,13,60,0,1017,28,10,0
1/1/19 21:00,31,16,0,11,7,26,3:23 AM,3:09 PM,7:20 AM,6:21 PM,18,28,28,25,10,5,76,0,1018,25,10,0
1/2/19 0:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,18,21,22,21,9,10,84,0,1018,21,5,0
1/2/19 3:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,17,18,18,18,6,5,90,0,1017,17,7,0
1/2/19 6:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,15,16,16,16,3,0,88,0,1018,16,10,0
1/2/19 9:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,17,23,23,23,4,0,69,0,1018,22,10,0
1/2/19 12:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,15,30,30,31,8,5,42,0,1017,30,10,0
1/2/19 15:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,14,31,31,32,12,7,33,0,1015,32,10,0
1/2/19 18:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,17,30,30,29,7,12,56,0,1016,29,10,0
1/2/19 21:00,32,15,0,11,7,19,4:17 AM,3:52 PM,7:21 AM,6:22 PM,19,27,27,25,5,24,76,0,1018,25,10,0
1/3/19 0:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,19,22,23,22,7,18,85,0,1017,22,10,0
1/3/19 3:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,16,18,18,18,8,22,88,0,1017,18,5,0
1/3/19 6:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,16,18,18,18,7,24,92,0,1018,17,7,0
1/3/19 9:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,18,25,25,24,6,7,70,0,1017,23,10,0
1/3/19 12:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,17,31,31,31,12,6,44,0,1016,30,10,0
1/3/19 15:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,15,33,33,33,19,9,36,0,1015,32,10,0
1/3/19 18:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,18,33,33,31,12,16,56,0,1016,31,10,0
1/3/19 21:00,32,17,0,11,7,11,5:10 AM,4:37 PM,7:21 AM,6:23 PM,20,31,31,29,5,20,77,0,1018,29,10,0
1/4/19 0:00,33,18,0,11,7,4,6:03 AM,5:25 PM,7:21 AM,6:23 PM,19,24,24,23,2,22,87,0,1017,23,10,0
1/4/19 3:00,33,18,0,11,7,4,6:03 AM,5:25 PM,7:21 AM,6:23 PM,18,19,19,19,3,11,92,0,1017,18,10,0
1/4/19 6:00,33,18,0,11,7,4,6:03 AM,5:25 PM,7:21 AM,6:23 PM,18,19,19,19,5,3,95,0,1018,18,10,0
