date_time,maxtempC,mintempC,cloudcover,humidity,pressure,tempC,visibility,label
1/1/2019,31,16,5,68,1018,31,10,0
1/2/2019,32,15,9,67,1017,32,9,0
1/3/2019,32,17,15,69,1017,32,9,0
1/4/2019,33,18,7,69,1017,33,10,0
1/5/2019,32,16,13,70,1017,32,10,0
1/6/2019,32,18,12,72,1018,32,10,0
1/7/2019,31,17,16,74,1018,31,10,1
1/8/2019,31,16,24,73,1017,31,7,0
1/9/2019,30,17,14,71,1016,30,10,0
1/10/2019,29,16,40,76,1015,29,10,1
1/11/2019,29,16,53,80,1016,29,9,1
1/12/2019,29,19,55,80,1018,29,8,1
1/13/2019,30,18,43,77,1018,30,8,1
1/14/2019,29,17,29,77,1017,29,10,1
1/15/2019,29,20,22,76,1017,29,10,1
1/16/2019,29,15,13,76,1018,29,10,0
1/17/2019,30,16,23,74,1018,30,10,1
1/18/2019,30,17,30,75,1017,30,10,1
1/19/2019,30,17,29,76,1017,30,10,1
1/20/2019,31,16,24,73,1017,31,10,0
1/21/2019,31,17,14,74,1018,31,9,0
1/22/2019,30,17,10,70,1019,30,8,0
1/23/2019,31,16,12,68,1018,31,8,0
1/24/2019,32,16,10,70,1018,32,10,0
1/25/2019,31,16,6,66,1017,31,10,0
1/26/2019,30,17,18,71,1016,30,10,0
1/27/2019,32,17,13,69,1015,32,10,0
1/28/2019,31,17,11,71,1015,31,10,0
1/29/2019,31,20,22,76,1015,31,10,1
1/30/2019,30,17,46,75,1016,30,10,1
1/31/2019,31,17,9,73,1017,31,9,0
2/1/2019,31,19,15,71,1017,31,10,0
2/2/2019,31,17,23,70,1017,31,10,1
2/3/2019,31,17,24,72,1015,31,10,0
2/4/2019,30,19,27,72,1015,30,11,1
2/5/2019,28,20,43,76,1016,28,11,1
2/6/2019,27,20,49,80,1016,27,8,1
2/7/2019,28,20,40,75,1016,28,9,1
2/8/2019,31,20,27,71,1016,31,10,1
2/9/2019,31,17,18,70,1017,31,18,0
2/10/2019,30,17,27,67,1017,30,11,0
2/11/2019,31,17,14,65,1017,31,13,0
2/12/2019,31,17,9,62,1017,31,11,0
2/13/2019,31,18,15,66,1016,31,13,0
2/14/2019,31,18,24,66,1016,31,13,0
2/15/2019,28,22,43,74,1016,28,12,1
2/16/2019,32,21,28,68,1016,32,15,1
2/17/2019,33,20,30,71,1017,33,14,1
2/18/2019,32,22,27,69,1018,32,11,1
2/19/2019,32,19,8,64,1018,32,10,0
2/20/2019,32,17,5,61,1017,32,10,0
2/21/2019,33,17,6,62,1018,33,10,0
2/22/2019,33,17,3,63,1018,33,11,0
2/23/2019,33,18,7,64,1018,33,20,0
2/24/2019,33,18,8,63,1018,33,10,0
2/25/2019,33,18,3,64,1018,33,10,0
2/26/2019,32,18,11,63,1018,32,10,0
2/27/2019,32,18,16,64,1017,32,10,0
2/28/2019,32,19,22,64,1017,32,10,0
3/1/2019,32,19,31,68,1017,32,10,1
3/2/2019,32,19,43,68,1017,32,10,1
3/3/2019,31,19,45,70,1016,31,10,1
